,index,Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP.1,PTS.1,TRB.1,AST.1,WS,WS/48,BPM,VORP,College SOS,DARKO,LEBRON,sos,Seasons,Wins Added,WA / Season,Career LEBRON,Career O-LEBRON,Career D-LEBRON
284,371,12,12,OKC,Steven Adams,Pitt,8,588,15812,5629,4543,726,0.591,0.077,0.548,26.9,9.6,7.7,1.2,49.1,0.149,0.3,9.1,,,,5.63,8,34.03312113,4.254140141,0.908274059,-0.225978599,1.134252659
285,372,13,13,DAL,Kelly Olynyk,Gonzaga,8,570,12644,5781,2910,1137,0.478,0.367,0.783,22.2,10.1,5.1,2,33.6,0.128,0.9,9,,,,4,8,25.06494914,3.133118642,0.656978559,0.066636498,0.590342061
286,373,14,14,UTA,Shabazz Muhammad,UCLA,5,278,4772,2504,770,151,0.473,0.319,0.751,17.2,9,2.8,0.5,8.5,0.085,-2,0,,,,7.82,5,0.033264435,0.006652887,-2.296599022,0.273202977,-2.569801999
287,377,18,18,ATL,Shane Larkin,Miami (FL),4,256,4880,1399,490,737,0.422,0.336,0.777,19.1,5.5,1.9,2.9,4.4,0.044,-2.4,-0.6,,,,7.03,4,0.224913946,0.056228486,-2.235816655,-1.583354829,-0.652461826
288,379,20,20,CHI,Tony Snell,New Mexico,8,548,12270,3485,1268,641,0.433,0.397,0.844,22.4,6.4,2.3,1.2,18.1,0.071,-1.9,0.3,,,,4.95,8,1.304278162,0.16303477,-2.14647821,-1.358564001,-0.787914209
289,380,21,21,UTA,Gorgui Dieng,Louisville,8,553,11896,4316,3306,750,0.501,0.357,0.793,21.5,7.8,6,1.4,29.5,0.119,0.3,6.9,,,,8.78,8,17.99792095,2.249740118,-0.043251577,-1.210779339,1.167527762
290,381,22,22,BRK,Mason Plumlee,Duke,8,588,12976,5007,3813,1385,0.579,0.051,0.572,22.1,8.5,6.5,2.4,39.5,0.146,1.4,11.3,,,,8.87,8,26.11091834,3.263864793,0.700341528,-0.362236076,1.062577605
291,382,23,23,IND,Solomon Hill,Arizona,8,435,9513,2445,1376,650,0.39,0.333,0.797,21.9,5.6,3.2,1.5,11.9,0.06,-2.2,-0.4,,,,7.05,8,4.592257519,0.57403219,-1.581391669,-1.272583239,-0.30880843
292,383,24,24,NYK,Tim Hardaway Jr.,Michigan,8,544,14592,7551,1494,1003,0.425,0.36,0.816,26.8,13.9,2.7,1.8,23.8,0.078,-0.9,4.1,,,,9.9,8,15.66310856,1.95788857,-0.701969167,0.63368451,-1.335653676
293,384,25,25,LAC,Reggie Bullock,UNC,8,366,7873,2799,854,441,0.433,0.392,0.844,21.5,7.6,2.3,1.2,14.9,0.091,-0.6,2.7,,,,8.41,8,4.517379159,0.564672395,-1.441460891,-0.951313942,-0.490146949
