,index,Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%_x,MP.1,PTS.1,TRB.1,AST.1,WS,WS/48,BPM,VORP,College SOS,DARKO,LEBRON,sos,nba_id,Team,DPM,O-DPM,D-DPM,Box DPM,Box O-DPM,Box D-DPM,FGA/100,FG2%,FG3A/100,FG3%,FG3ARate%,FTA/100,FT%_y,FTARate%,Usg%,Reb/100,Ast/100,Ast%,Blk/100,Blk%,Tov/100
111,144,25,25,LAL,Moritz Wagner,Michigan,3,133,2003,910,450,130,0.48,0.315,0.817,15.1,6.8,3.4,1,3.1,0.075,-2.9,-0.4,9.16,,,9.16,1629021,Orlando Magic,-0.98,-0.74,-0.23,0.11,-0.23,0.34,15.806,0.542,7.712,0.34,0.48,4.791,0.811,0.314,0.189,10.03,2.888,0.096,1.069,0.012,2.578
112,145,26,26,PHI,Landry Shamet,Wichita State,3,193,4657,1781,346,315,0.416,0.397,0.834,24.1,9.2,1.8,1.6,8,0.083,-2,0,,,,4.22,1629013,Brooklyn Nets,-0.91,-0.02,-0.89,-0.17,-0.26,0.09,13.279,0.498,8.951,0.381,0.693,2.52,0.82,0.218,0.135,4.201,2.709,0.072,0.273,0.003,1.354
113,146,27,27,BOS,Robert Williams,Texas A&M,3,113,1656,648,567,128,0.72,0,0.623,14.7,5.7,5,1.1,8.5,0.247,5.1,3,,,,9.29,1629057,Boston Celtics,1.55,0.26,1.29,2.79,0.48,2.31,14.608,0.628,1.214,0.233,0.061,4.335,0.575,0.31,0.187,17.253,4.711,0.159,4.184,0.053,2.506
114,151,32,32,MEM,Jevon Carter,West Virginia,3,157,2239,707,276,224,0.386,0.381,0.803,14.3,4.5,1.8,1.4,3.3,0.072,-0.6,0.8,,,,9.53,1628975,Phoenix Suns,0.45,0.05,0.4,1.29,0.32,0.97,17.285,0.441,10.888,0.353,0.61,1.696,0.734,0.108,0.17,6.277,4.111,0.118,0.386,0.005,1.826
115,152,33,33,DAL,Jalen Brunson,Villanova,3,198,4310,2001,534,657,0.489,0.373,0.775,21.8,10.1,2.7,3.3,9.8,0.109,-0.6,1.5,,,,9.74,1628973,Dallas Mavericks,0.62,1.37,-0.74,0.64,1.41,-0.77,19.686,0.538,6.773,0.348,0.351,5.052,0.788,0.27,0.209,6.712,6.582,0.21,0.209,0.002,2.452
116,153,34,34,ATL,Devonte' Graham,Kansas,3,164,4546,2178,423,887,0.376,0.364,0.822,27.7,13.3,2.6,5.4,7.3,0.077,-0.2,2.1,,,,11.86,1628984,Charlotte Hornets,0.19,1.09,-0.89,-0.6,1.23,-1.83,20.781,0.445,16.48,0.357,0.751,5.657,0.84,0.251,0.223,4.672,8.46,0.271,0.332,0.004,2.814
117,156,37,37,SAC,Gary Trent Jr.,Duke,3,134,3245,1469,263,146,0.417,0.393,0.778,24.2,11,2,1.1,3.9,0.058,-2,0,,,,9.71,1629018,Toronto Raptors,-2.09,-0.37,-1.72,-2.5,-0.52,-1.98,23.918,0.452,12.18,0.359,0.511,4.194,0.791,0.174,0.236,4.89,2.19,0.081,0.396,0.005,1.611
118,157,38,38,PHI,Khyri Thomas,Creighton,3,39,409,160,39,36,0.388,0.316,0.75,10.5,4.1,1,0.9,0.5,0.058,-2.7,-0.1,,,,7.83,1629017,Houston Rockets,-0.03,-0.24,0.21,0.09,-0.23,0.32,18.958,0.533,9.354,0.338,0.473,3.826,0.813,0.213,0.208,5.56,6.889,0.199,1.02,0.011,2.461
119,160,41,41,ORL,Jarred Vanderbilt,Kentucky,3,92,1254,380,400,81,0.597,0.143,0.57,13.6,4.1,4.3,0.9,3.2,0.121,-1,0.3,,,,10.73,1629020,Minnesota Timberwolves,1.22,-0.4,1.62,1.52,-0.19,1.71,9.441,0.652,0.974,0.241,0.057,4.617,0.578,0.433,0.116,15.692,2.376,0.066,2.19,0.023,1.837
120,161,42,42,DET,Bruce Brown,Miami (FL),3,197,4534,1409,808,425,0.471,0.298,0.74,23,7.2,4.1,2.2,7.9,0.084,-1.6,0.5,,,,8.26,1628971,Brooklyn Nets,0.19,-0.16,0.36,0.92,-0.09,1.01,14.633,0.567,2.284,0.302,0.133,4.07,0.737,0.249,0.162,11.824,3.476,0.096,0.892,0.01,1.852
