Player,Seasons,Wins Added,WA / Season,Career LEBRON,Career O-LEBRON,Career D-LEBRON
Bruce Brown,3,4.03041015,1.34347005,-0.974267775,-1.475596728,0.501328953
Tyler Ulis,3,2.03853882,0.67951294,-1.202535117,-0.394488975,-0.808046142
Vincent Poirier,2,0.118949524,0.059474762,-1.246170949,-0.919801359,-0.326369591
Eddy Curry,3,0.05968117,0.019893723,-1.776814671,-0.986916203,-0.789898468
Aaron Holiday,3,2.364593481,0.788197827,-1.270824227,-0.616584345,-0.654239882
Rayjon Tucker,2,0.169373986,0.084686993,-1.195069288,-0.498242269,-0.696827018
Theo Pinson,3,0.443455861,0.14781862,-1.213012713,-1.02565307,-0.187359643
Udonis Haslem,12,6.098083883,0.508173657,-1.12431166,-1.604827712,0.480516051
Raul Neto,6,3.918921661,0.65315361,-1.100472182,-0.919080072,-0.18139211
Haywood Highsmith,1,0.028747568,0.028747568,-1.217385582,-0.3902398,-0.827145782
Nicolo Melli,2,1.100162508,0.550081254,-1.276774823,-1.586306209,0.309531386
Jamal Crawford,11,14.75166144,1.34106013,-1.182032845,1.317195641,-2.499228486
Gerald Green,8,7.675847289,0.959480911,-1.166293767,0.229229126,-1.395522893
Frank Mason,4,1.143232331,0.285808083,-1.241039437,-0.318181413,-0.922858024
Kurt Thomas,4,2.332530605,0.583132651,-1.279008635,-2.93986145,1.660852815
Diamond Stone,1,0.017248784,0.017248784,-1.234490291,-0.653339906,-0.581150384
Rodney McGruder,5,3.470000121,0.694000024,-1.235051982,-0.930245121,-0.304806861
Malcolm Lee,3,0.473309003,0.157769668,-0.972787119,-1.053080974,0.080293855
Garrett Temple,11,9.957865186,0.905260471,-1.210978664,-1.543502991,0.332524327
Malik Beasley,5,3.27426229,0.654852458,-1.328731559,-0.138739275,-1.189992284
Georges Niang,5,2.773053453,0.554610691,-0.776290479,-0.207042725,-0.569247754
Jamel Artis,1,0.194072498,0.194072498,-1.25772527,-0.971583688,-0.286141581
Jodie Meeks,10,9.803663199,0.98036632,-1.092475926,0.193862157,-1.286338083
Thomas Robinson,5,3.180170299,0.63603406,-1.169317436,-1.229210921,0.059893485
Mike Miller,8,5.10123383,0.637654229,-1.245954323,-0.304536004,-0.94141832
C.J. Williams,2,0.574325605,0.287162803,-1.269350316,-1.227209657,-0.042140659
Andris Biedrins,5,2.740595589,0.548119118,-1.107688351,-3.222483395,2.114795044
Torrey Craig,4,2.317048201,0.57926205,-1.436302292,-0.864505457,-0.571796835
Georgios Papagiannis,2,0.328006929,0.164003464,-1.271016472,-1.541620574,0.270604103
Ryan Broekhoff,2,0.434774467,0.217387234,-1.271977148,-0.584687323,-0.687289826
Drew Gordon,1,0.048830114,0.048830114,-1.272087901,-0.794607284,-0.477480617
Jaron Blossomgame,1,0.300325533,0.300325533,-1.275219571,-1.498421746,0.223202174
Jamaal Franklin,2,0.119491502,0.059745751,-1.275317549,-1.151336661,-0.123980888
Josh Boone,1,0.864458453,0.864458453,-1.061896319,-2.104988667,1.043092348
Karim Mane,1,0.048532078,0.048532078,-1.476059591,-1.389745991,-0.0863136
Ron Baker,3,0.951202369,0.317067456,-1.278689744,-1.294815853,0.016126108
Khem Birch,4,2.89695243,0.724238108,-1.12211367,-1.380625528,0.258511859
James Jones,8,3.518738074,0.439842259,-1.18065258,-0.238757856,-0.941894724
Tyler Cook,2,-0.068975212,-0.034487606,-2.523139826,-1.705294739,-0.817845086
Brandon Goodwin,3,0.679879468,0.226626489,-1.379598938,-0.581584389,-0.798014549
Mychal Mulder,2,0.603546304,0.301773152,-1.368626821,-0.229042025,-1.139584797
Malachi Flynn,1,0.572121713,0.572121713,-1.375403444,-1.548348985,0.172945541
CJ Wilcox,3,0.251953859,0.08398462,-1.29577628,-0.565368033,-0.730408246
Ivan Rabb,2,0.827810937,0.413905469,-1.296534386,-1.088458037,-0.208076349
T.J. Ford,3,1.914539912,0.638179971,-0.969130362,-0.775409754,-0.193720608
Devin Vassell,1,0.633668891,0.633668891,-1.400413408,-1.49659806,0.096184652
Andrea Bargnani,7,6.581731322,0.940247332,-1.304036962,0.201614276,-1.505651238
Stanley Johnson,6,4.888163983,0.814693997,-1.30040542,-1.966654363,0.666248943
Brandon Knight,8,8.796559483,1.099569935,-1.302862297,-0.190104888,-1.112757409
Marreese Speights,9,6.892504929,0.765833881,-1.204749423,-0.68532613,-0.519423293
Tornike Shengelia,2,0.134078996,0.067039498,-1.489252309,-0.924292002,-0.564960307
Alex Poythress,3,0.374177843,0.124725948,-1.309825503,-1.037399989,-0.272425515
Jamaal Tinsley,4,2.680738571,0.670184643,-0.650318781,-0.496546084,-0.153772697
Jalen Smith,1,0.089439584,0.089439584,-1.438918578,-0.964852376,-0.474066201
Sasha Vujacic,5,2.210979068,0.442195814,-1.367976267,-0.194891295,-1.173084972
Malachi Richardson,3,0.407372422,0.135790807,-1.323131893,-1.009950187,-0.313181705
David Andersen,2,1.245725237,0.622862619,-0.825003036,-0.855000851,0.029997815
Gary Trent Jr.,3,1.729598223,0.576532741,-1.500806299,0.305279175,-1.806085475
Myke Henry,1,0.244465117,0.244465117,-1.330880385,-0.790987993,-0.539892392
Tayshaun Prince,7,10.49184484,1.498834976,-1.162803619,-0.486696291,-0.676107329
Aaron Harrison,3,0.221534089,0.073844696,-1.33247484,-0.675586635,-0.656888204
Josh Green,1,0.276399764,0.276399764,-1.368190859,-1.232314883,-0.135875977
Jerome Jordan,2,0.290666701,0.145333351,-1.413199278,-1.004844724,-0.408354554
Glen Davis,6,5.7790114,0.963168567,-1.260248149,-1.636583905,0.376335756
Quinndary Weatherspoon,2,0.123611782,0.061805891,-1.368352519,-0.949273507,-0.419079012
Malcolm Delaney,2,1.444985253,0.722492626,-1.343051735,-1.025607284,-0.317444452
Precious Achiuwa,1,0.431519671,0.431519671,-1.422314961,-2.303444503,0.881129542
Sviatoslav Mykhailiuk,3,2.24986136,0.749953787,-1.188634577,-0.535828899,-0.652805678
Tyler Lydon,2,0.060633837,0.030316918,-1.350407101,-0.707384157,-0.643022943
Chris Singleton,3,1.989671609,0.66322387,-1.1572424,-2.32378463,1.16654223
Zhou Qi,2,0.079034131,0.039517065,-1.351712442,-1.106283323,-0.245429119
Josh Hall,1,-0.055589754,-0.055589754,-2.55501647,-2.410679464,-0.144337006
Troy Brown Jr.,3,1.908974763,0.636324921,-1.357766746,-0.327597971,-1.030168775
Zach LaVine,7,9.039672529,1.29138179,-1.276219901,0.574092658,-1.850312558
Cartier Martin,6,2.555528144,0.425921357,-1.060454176,-0.48621447,-0.574239705
Markus Howard,1,-0.001278684,-0.001278684,-2.312987957,-0.527120879,-1.785867078
Roger Mason Jr.,5,3.640713404,0.728142681,-0.943043955,0.017875306,-0.960919261
Rodions Kurucs,3,1.317488755,0.439162918,-1.363070489,-1.846067148,0.482996659
Sindarius Thornwell,4,1.222216394,0.305554099,-1.238710676,-2.219027299,0.980316623
Shelvin Mack,8,5.672063688,0.709007961,-1.289935432,-0.505550491,-0.784384941
Dillon Brooks,4,4.808866008,1.202216502,-1.243784381,-0.896327857,-0.347456525
Donte Greene,3,3.126096218,1.042032073,-0.97633614,-1.194422145,0.218086005
Luka Samanic,2,0.184483339,0.092241669,-1.525429114,-1.443133243,-0.08229587
Briante Weber,3,0.377049159,0.125683053,-1.373765871,-0.719957742,-0.653808129
Anthony Morrow,8,6.679914844,0.834989355,-1.372676623,0.168081947,-1.540758571
Bismack Biyombo,10,8.956233386,0.895623339,-1.365162547,-2.613634502,1.248471955
Trey Thompkins,1,0.031442897,0.031442897,-1.90439285,-0.920426426,-0.983966424
Jarrett Jack,9,10.01712389,1.113013766,-1.303735375,-0.009548612,-1.294186763
Chris Richard,1,0.107221911,0.107221911,-1.581156405,-2.194714308,0.613557903
Desmond Bane,1,0.671250423,0.671250423,-1.637292798,-0.754843296,-0.882449502
Oshae Brissett,2,0.960215584,0.480107792,-0.110622621,0.016035122,-0.126657743
Chris Kaman,7,4.627087585,0.661012512,-1.477872709,-1.877846738,0.399974028
Erik Murphy,1,0.037557802,0.037557802,-1.394122893,-0.899367525,-0.494755368
Corey Maggette,4,2.980622621,0.745155655,-1.333411504,0.385678365,-1.719089869
James Ennis III,7,4.923258276,0.703322611,-1.376465475,-1.102764482,-0.273700993
James Singleton,2,1.030611965,0.515305982,-1.057156115,-1.572723594,0.515567479
Jason Maxiell,6,4.764520073,0.794086679,-1.297928198,-1.995730261,0.697802063
Bojan Bogdanovic,7,10.23722518,1.462460741,-1.311906432,0.069101691,-1.381008123
Andrew White III,1,0.123781352,0.123781352,-1.412576381,-1.232451025,-0.180125356
Juancho Hernangomez,5,2.685013766,0.537002753,-1.345336832,-0.712073446,-0.633263387
Anthony Johnson,1,0.327909571,0.327909571,-1.090597662,-0.479159751,-0.611437911
Tyler Zeller,8,4.240786259,0.530098282,-1.431486617,-1.462590469,0.031103851
Kendall Marshall,4,2.13164958,0.532912395,-1.268377079,-0.111373917,-1.157003162
Jordan Bone,2,0.118511166,0.059255583,-1.587544722,-1.101589528,-0.485955195
Dwight Buycks,3,0.408644057,0.136214686,-1.421066714,-0.888230162,-0.532836553
Melvin Frazier Jr.,2,0.099812988,0.049906494,-1.422702458,-0.998668535,-0.424033923
Mindaugas Kuzminskas,2,0.59578885,0.297894425,-1.422744087,-0.064923073,-1.357821014
Tyler Ennis,4,1.36852703,0.342131758,-1.424091865,-1.202639249,-0.221452616
Peyton Siva,1,0.130882828,0.130882828,-1.425350563,-0.931938607,-0.493411956
Charlie Bell,2,1.453660341,0.726830171,-1.078386195,-1.332866547,0.254480352
Chris Clemons,1,0.169191721,0.169191721,-1.426907273,0.407500913,-1.834408186
Juwan Morgan,2,0.075468517,0.037734258,-1.907019729,-1.127983091,-0.779036638
Damian Jones,5,1.20838455,0.24167691,-1.40217062,-1.523562841,0.121392221
Ryan Arcidiacono,4,2.167394623,0.541848656,-1.411700034,-0.980974048,-0.430725986
Steve Blake,7,8.057956647,1.151136664,-1.115132226,-0.511629937,-0.60350229
Dante Cunningham,10,8.528317333,0.852831733,-1.443477037,-1.447989897,0.00451286
Zach Collins,3,1.545609945,0.515203315,-1.441370732,-1.583972632,0.1426019
Cole Anthony,1,-0.002048162,-0.002048162,-2.305966767,-1.425144488,-0.880822279
Anthony Carter,3,1.247249423,0.415749808,-1.080732986,-1.085704645,0.004971659
Elijah Hughes,1,0.030819208,0.030819208,-1.574636913,-0.109435942,-1.465200971
Langston Galloway,7,5.471256122,0.781608017,-1.459438181,-0.473197791,-0.986240389
Nick Young,10,7.580351794,0.758035179,-1.45532981,0.212602389,-1.667932199
Jon Brockman,3,1.05856982,0.352856607,-1.290075922,-1.090432844,-0.199643078
Jeff Ayres,6,1.036697509,0.172782918,-1.63164248,-1.51997013,-0.11167235
Marcelo Huertas,2,0.613498255,0.306749128,-1.469415689,-0.776495786,-0.692919904
Kay Felder,2,0.290949695,0.145474848,-1.470171321,-1.366742762,-0.103428559
Kyle Wiltjer,1,0.024152062,0.024152062,-1.474792751,-0.710858721,-0.76393403
O.J. Mayo,7,7.37892998,1.054132854,-1.504542968,-0.085409874,-1.419133094
Vlatko Cancar,2,-0.016904342,-0.008452171,-2.386201854,-1.474890789,-0.911311065
Gabe Vincent,2,0.322848589,0.161424294,-1.644388454,-0.913435187,-0.730953267
Branden Dawson,1,0.015829277,0.015829277,-1.477756119,-0.447771058,-1.029985061
Malik Hairston,1,0.167212907,0.167212907,-1.50937581,-1.237274946,-0.272100864
Gary Neal,7,4.690511722,0.670073103,-1.368074919,0.423265459,-1.791340378
Chris Copeland,4,1.098134505,0.274533626,-1.521249295,-0.090815938,-1.430433357
